POP,MUTPB,CXPB,Test Run,Tests,Passed,Invalid,Failed,P(fail),Frechet,Spars.,TTF
10,0.1,0.7,1,144,136,8,0,0.0,nan,nan,nan
10,0.1,0.7,2,150,134,16,0,0.0,nan,nan,nan
10,0.1,0.7,3,154,143,9,2,0.013,0.0,9.166,140
10,0.1,0.7,4,149,140,9,0,0.0,nan,nan,nan
10,0.1,0.7,5,146,139,7,0,0.0,nan,nan,nan
10,0.1,0.7,6,159,71,8,80,0.5031,0.2,12.777,55
10,0.1,0.7,7,188,107,7,74,0.3936,0.55,6.485,91
10,0.1,0.7,8,126,103,16,7,0.0556,1.78,4.355,83
10,0.1,0.7,9,160,146,14,0,0.0,nan,nan,nan
10,0.1,0.7,10,150,139,11,0,0.0,nan,nan,nan
10,0.1,0.8,1,174,143,31,0,0.0,nan,nan,nan
10,0.1,0.8,2,135,130,5,0,0.0,nan,nan,nan
10,0.1,0.8,3,157,149,8,0,0.0,nan,nan,nan
10,0.1,0.8,4,152,148,4,0,0.0,nan,nan,nan
10,0.1,0.8,5,134,126,8,0,0.0,nan,nan,nan
10,0.1,0.8,6,153,150,3,0,0.0,nan,nan,nan
10,0.1,0.8,7,146,140,6,0,0.0,nan,nan,nan
10,0.1,0.8,8,155,141,14,0,0.0,nan,nan,nan
10,0.1,0.8,9,132,126,6,0,0.0,nan,nan,nan
10,0.1,0.8,10,144,134,10,0,0.0,nan,nan,nan
10,0.1,0.9,1,152,142,10,0,0.0,nan,nan,nan
10,0.1,0.9,2,138,132,5,1,0.0072,nan,nan,89
10,0.1,0.9,3,152,146,6,0,0.0,nan,nan,nan
10,0.1,0.9,4,145,130,15,0,0.0,nan,nan,nan
10,0.1,0.9,5,157,150,7,0,0.0,nan,nan,nan
10,0.1,0.9,6,171,98,16,57,0.3333,0.0,4.468,94
10,0.1,0.9,7,243,23,8,212,0.8724,0.34,8.411,2
10,0.1,0.9,8,148,142,6,0,0.0,nan,nan,nan
10,0.1,0.9,9,126,114,6,6,0.0476,0.61,1.708,98
10,0.1,0.9,10,171,158,13,0,0.0,nan,nan,nan
10,0.1,0.95,1,132,126,6,0,0.0,nan,nan,nan
10,0.1,0.95,2,140,127,13,0,0.0,nan,nan,nan
10,0.1,0.95,3,142,136,4,2,0.0141,1.26,2.369,112
