POP,MUTPB,CXPB,Test Run,Tests,Passed,Invalid,Failed,P(fail),Frechet,Spars.,TTF
10,0.1,0.7,1,154,144,10,0,0.0,nan,nan,nan
10,0.1,0.7,2,136,133,3,0,0.0,nan,nan,nan
10,0.1,0.7,3,142,137,5,0,0.0,nan,nan,nan
10,0.1,0.7,4,153,147,6,0,0.0,nan,nan,nan
10,0.1,0.7,5,131,121,10,0,0.0,nan,nan,nan
10,0.1,0.7,6,153,140,12,1,0.0065,nan,nan,102
10,0.1,0.7,7,140,135,5,0,0.0,nan,nan,nan
10,0.1,0.7,8,134,128,6,0,0.0,nan,nan,nan
10,0.1,0.7,9,150,146,4,0,0.0,nan,nan,nan
10,0.1,0.7,10,156,126,30,0,0.0,nan,nan,nan
10,0.1,0.8,1,146,141,5,0,0.0,nan,nan,nan
10,0.1,0.8,2,153,148,5,0,0.0,nan,nan,nan
10,0.1,0.8,3,134,129,5,0,0.0,nan,nan,nan
10,0.1,0.8,4,148,132,16,0,0.0,nan,nan,nan
10,0.1,0.8,5,158,150,8,0,0.0,nan,nan,nan
10,0.1,0.8,6,150,138,12,0,0.0,nan,nan,nan
10,0.1,0.8,7,147,142,5,0,0.0,nan,nan,nan
10,0.1,0.8,8,148,141,7,0,0.0,nan,nan,nan
10,0.1,0.8,9,132,129,2,1,0.0076,nan,nan,2
10,0.1,0.8,10,150,140,9,1,0.0067,nan,nan,2
10,0.1,0.9,1,134,123,11,0,0.0,nan,nan,nan
10,0.1,0.9,2,129,128,1,0,0.0,nan,nan,nan
10,0.1,0.9,3,123,119,4,0,0.0,nan,nan,nan
10,0.1,0.9,4,150,135,15,0,0.0,nan,nan,nan
10,0.1,0.9,5,147,138,9,0,0.0,nan,nan,nan
10,0.1,0.9,6,153,136,17,0,0.0,nan,nan,nan
10,0.1,0.9,7,124,123,1,0,0.0,nan,nan,nan
10,0.1,0.9,8,162,146,16,0,0.0,nan,nan,nan
10,0.1,0.9,9,162,150,12,0,0.0,nan,nan,nan
10,0.1,0.9,10,161,154,7,0,0.0,nan,nan,nan
10,0.1,0.95,1,164,157,7,0,0.0,nan,nan,nan
10,0.1,0.95,2,144,135,9,0,0.0,nan,nan,nan
10,0.1,0.95,3,144,131,12,1,0.0069,nan,nan,1
10,0.1,0.95,4,169,163,6,0,0.0,nan,nan,nan
10,0.1,0.95,5,137,127,10,0,0.0,nan,nan,nan
10,0.1,0.95,6,137,132,5,0,0.0,nan,nan,nan
10,0.1,0.95,7,129,122,7,0,0.0,nan,nan,nan
10,0.1,0.95,8,143,126,16,1,0.007,nan,nan,9
10,0.1,0.95,9,142,134,8,0,0.0,nan,nan,nan
10,0.1,0.95,10,149,141,8,0,0.0,nan,nan,nan
10,0.7,0.7,1,158,147,11,0,0.0,nan,nan,nan
10,0.7,0.7,2,169,142,26,1,0.0059,nan,nan,143
10,0.7,0.7,3,150,145,5,0,0.0,nan,nan,nan
10,0.7,0.7,4,166,150,16,0,0.0,nan,nan,nan
10,0.7,0.7,5,170,156,13,1,0.0059,nan,nan,39
10,0.7,0.7,6,166,131,34,1,0.006,nan,nan,19
10,0.7,0.7,7,138,130,7,1,0.0072,nan,nan,10
10,0.7,0.7,8,132,116,16,0,0.0,nan,nan,nan
10,0.7,0.7,9,154,121,28,5,0.0325,46.92,28.436,11
10,0.7,0.7,10,171,142,29,0,0.0,nan,nan,nan
10,0.7,0.8,1,155,149,6,0,0.0,nan,nan,nan
10,0.7,0.8,2,155,121,32,2,0.0129,141.0,19.797,22
10,0.7,0.8,3,185,144,41,0,0.0,nan,nan,nan
10,0.7,0.8,4,137,130,7,0,0.0,nan,nan,nan
10,0.7,0.8,5,170,145,24,1,0.0059,nan,nan,1
10,0.7,0.8,6,161,134,27,0,0.0,nan,nan,nan
10,0.7,0.8,7,146,139,7,0,0.0,nan,nan,nan
10,0.7,0.8,8,166,142,23,1,0.006,nan,nan,56
10,0.7,0.8,9,121,114,7,0,0.0,nan,nan,nan
10,0.7,0.8,10,143,129,13,1,0.007,nan,nan,16
10,0.7,0.9,1,159,134,23,2,0.0126,139.0,20.116,104
