POP,MUTPB,CXPB,Test Run,Tests,Passed,Invalid,Failed,P(fail),Frechet,Spars.,TTF
10,0.1,0.7,1,148,148,0,0,0.0,nan,nan,nan
10,0.1,0.7,2,132,130,0,2,0.0152,67.0,28.791,123
10,0.1,0.7,3,130,128,2,0,0.0,nan,nan,nan
10,0.1,0.7,4,138,137,0,1,0.0072,nan,nan,2
10,0.1,0.7,5,125,125,0,0,0.0,nan,nan,nan
10,0.1,0.7,6,146,141,5,0,0.0,nan,nan,nan
10,0.1,0.7,7,137,136,1,0,0.0,nan,nan,nan
10,0.1,0.7,8,133,129,4,0,0.0,nan,nan,nan
10,0.1,0.7,9,144,144,0,0,0.0,nan,nan,nan
10,0.1,0.7,10,144,143,0,1,0.0069,nan,nan,4
10,0.1,0.8,1,125,125,0,0,0.0,nan,nan,nan
10,0.1,0.8,2,141,140,0,1,0.0071,nan,nan,8
10,0.1,0.8,3,157,157,0,0,0.0,nan,nan,nan
10,0.1,0.8,4,131,129,1,1,0.0076,nan,nan,31
10,0.1,0.8,5,135,135,0,0,0.0,nan,nan,nan
10,0.1,0.8,6,141,141,0,0,0.0,nan,nan,nan
10,0.1,0.8,7,130,127,2,1,0.0077,nan,nan,2
10,0.1,0.8,8,134,133,1,0,0.0,nan,nan,nan
10,0.1,0.8,9,146,145,1,0,0.0,nan,nan,nan
10,0.1,0.8,10,137,137,0,0,0.0,nan,nan,nan
10,0.1,0.9,1,138,137,0,1,0.0072,nan,nan,2
10,0.1,0.9,2,115,113,2,0,0.0,nan,nan,nan
10,0.1,0.9,3,132,132,0,0,0.0,nan,nan,nan
10,0.1,0.9,4,144,144,0,0,0.0,nan,nan,nan
10,0.1,0.9,5,114,113,0,1,0.0088,nan,nan,108
10,0.1,0.9,6,144,144,0,0,0.0,nan,nan,nan
10,0.1,0.9,7,124,124,0,0,0.0,nan,nan,nan
10,0.1,0.9,8,132,126,2,4,0.0303,49.6,23.69,54
10,0.1,0.9,9,133,132,1,0,0.0,nan,nan,nan
10,0.1,0.9,10,139,136,3,0,0.0,nan,nan,nan
10,0.1,0.95,1,129,129,0,0,0.0,nan,nan,nan
10,0.1,0.95,2,139,138,0,1,0.0072,nan,nan,7
10,0.1,0.95,3,159,157,2,0,0.0,nan,nan,nan
10,0.1,0.95,4,142,138,3,1,0.007,nan,nan,89
10,0.1,0.95,5,129,127,2,0,0.0,nan,nan,nan
10,0.1,0.95,6,132,131,0,1,0.0076,nan,nan,26
10,0.1,0.95,7,136,136,0,0,0.0,nan,nan,nan
10,0.1,0.95,8,134,134,0,0,0.0,nan,nan,nan
10,0.1,0.95,9,137,136,0,1,0.0073,nan,nan,20
10,0.1,0.95,10,151,151,0,0,0.0,nan,nan,nan
10,0.7,0.7,1,140,136,2,2,0.0143,69.77,26.866,97
10,0.7,0.7,2,135,125,7,3,0.0222,93.44,26.673,5
10,0.7,0.7,3,134,126,5,3,0.0224,113.85,21.381,7
10,0.7,0.7,4,140,138,1,1,0.0071,nan,nan,15
10,0.7,0.7,5,143,138,5,0,0.0,nan,nan,nan
10,0.7,0.7,6,136,130,3,3,0.0221,62.07,18.59,7
10,0.7,0.7,7,133,131,1,1,0.0075,nan,nan,41
10,0.7,0.7,8,143,138,5,0,0.0,nan,nan,nan
10,0.7,0.7,9,145,140,5,0,0.0,nan,nan,nan
10,0.7,0.7,10,135,130,1,4,0.0296,45.05,13.481,7
10,0.7,0.8,1,146,129,17,0,0.0,nan,nan,nan
10,0.7,0.8,2,141,124,14,3,0.0213,51.78,10.094,13
10,0.7,0.8,3,188,141,47,0,0.0,nan,nan,nan
10,0.7,0.8,4,164,154,9,1,0.0061,nan,nan,1
10,0.7,0.8,5,155,147,6,2,0.0129,58.0,21.23,11
10,0.7,0.8,6,145,134,10,1,0.0069,nan,nan,22
10,0.7,0.8,7,144,144,0,0,0.0,nan,nan,nan
10,0.7,0.8,8,138,135,2,1,0.0072,nan,nan,33
10,0.7,0.8,9,143,137,6,0,0.0,nan,nan,nan
10,0.7,0.8,10,127,125,1,1,0.0079,nan,nan,40
10,0.7,0.9,1,146,138,8,0,0.0,nan,nan,nan
10,0.7,0.9,2,144,138,5,1,0.0069,nan,nan,19
10,0.7,0.9,3,153,145,6,2,0.0131,54.0,6.848,2
10,0.7,0.9,4,124,124,0,0,0.0,nan,nan,nan
10,0.7,0.9,5,155,145,10,0,0.0,nan,nan,nan
10,0.7,0.9,6,148,148,0,0,0.0,nan,nan,nan
10,0.7,0.9,7,142,132,9,1,0.007,nan,nan,14
10,0.7,0.9,8,143,133,8,2,0.014,158.0,22.146,17
10,0.7,0.9,9,133,128,2,3,0.0226,55.07,9.477,60
10,0.7,0.9,10,129,125,0,4,0.031,33.56,17.737,10
10,0.7,0.95,1,142,138,3,1,0.007,nan,nan,139
10,0.7,0.95,2,131,125,5,1,0.0076,nan,nan,37
10,0.7,0.95,3,136,132,4,0,0.0,nan,nan,nan
10,0.7,0.95,4,155,155,0,0,0.0,nan,nan,nan
10,0.7,0.95,5,140,135,4,1,0.0071,nan,nan,53
10,0.7,0.95,6,150,133,17,0,0.0,nan,nan,nan
10,0.7,0.95,7,148,136,11,1,0.0068,nan,nan,136
10,0.7,0.95,8,141,126,14,1,0.0071,nan,nan,93
10,0.7,0.95,9,147,142,4,1,0.0068,nan,nan,50
10,0.7,0.95,10,135,130,3,2,0.0148,15.87,20.114,105
10,0.8,0.7,1,158,140,18,0,0.0,nan,nan,nan
10,0.8,0.7,2,129,125,1,3,0.0233,72.79,28.835,4
10,0.8,0.7,3,130,125,1,4,0.0308,95.39,11.296,10
10,0.8,0.7,4,140,136,2,2,0.0143,27.0,22.682,61
10,0.8,0.7,5,147,142,4,1,0.0068,nan,nan,92
10,0.8,0.7,6,129,129,0,0,0.0,nan,nan,nan
10,0.8,0.7,7,124,117,6,1,0.0081,nan,nan,6
10,0.8,0.7,8,135,130,2,3,0.0222,32.69,10.369,5
10,0.8,0.7,9,172,148,23,1,0.0058,nan,nan,1
10,0.8,0.7,10,133,116,15,2,0.015,33.0,7.244,101
10,0.8,0.8,1,142,138,4,0,0.0,nan,nan,nan
10,0.8,0.8,2,140,132,8,0,0.0,nan,nan,nan
10,0.8,0.8,3,138,125,12,1,0.0072,nan,nan,54
10,0.8,0.8,4,137,133,1,3,0.0219,99.73,28.88,9
10,0.8,0.8,5,155,148,7,0,0.0,nan,nan,nan
10,0.8,0.8,6,151,126,24,1,0.0066,nan,nan,112
10,0.8,0.8,7,149,127,17,5,0.0336,58.95,16.395,1
10,0.8,0.8,8,147,135,12,0,0.0,nan,nan,nan
10,0.8,0.8,9,133,129,4,0,0.0,nan,nan,nan
10,0.8,0.8,10,135,130,4,1,0.0074,nan,nan,11
10,0.8,0.9,1,148,142,4,2,0.0135,88.0,12.661,58
10,0.8,0.9,2,169,147,22,0,0.0,nan,nan,nan
10,0.8,0.9,3,139,135,2,2,0.0144,102.0,6.657,62
10,0.8,0.9,4,127,126,1,0,0.0,nan,nan,nan
10,0.8,0.9,5,125,125,0,0,0.0,nan,nan,nan
10,0.8,0.9,6,159,136,20,3,0.0189,111.74,16.545,14
10,0.8,0.9,7,147,132,11,4,0.0272,60.47,17.841,3
10,0.8,0.9,8,142,135,6,1,0.007,nan,nan,49
10,0.8,0.9,9,150,140,10,0,0.0,nan,nan,nan
10,0.8,0.9,10,157,136,20,1,0.0064,nan,nan,34
10,0.8,0.95,1,142,126,15,1,0.007,nan,nan,142
10,0.8,0.95,2,133,124,8,1,0.0075,nan,nan,50
10,0.8,0.95,3,131,129,1,1,0.0076,nan,nan,71
10,0.8,0.95,4,160,141,19,0,0.0,nan,nan,nan
10,0.8,0.95,5,132,130,2,0,0.0,nan,nan,nan
10,0.8,0.95,6,135,132,0,3,0.0222,83.97,22.349,43
10,0.8,0.95,7,133,130,2,1,0.0075,nan,nan,14
10,0.8,0.95,8,158,153,5,0,0.0,nan,nan,nan
10,0.8,0.95,9,151,137,14,0,0.0,nan,nan,nan
10,0.8,0.95,10,143,125,15,3,0.021,104.62,18.903,36
10,0.9,0.7,1,141,132,5,4,0.0284,77.2,22.267,1
10,0.9,0.7,2,147,146,1,0,0.0,nan,nan,nan
